timestamp,position_x,position_y,angle,speed,acceleration,steering_angle,distance_from_object (cm)
12761.156932928,-0.2273508005107665,0.6731475872076949,9.43990064367084,0.1,0.0,-0.05323254218582751,0
12761.168245208,-0.2284818924477172,0.6731300424527712,9.44028805986393,0.1,0.0,-0.048869219055841684,0
12761.179592385,-0.22961646735430755,0.6731120413405072,9.440642582773096,0.1,0.0,-0.04450589592585586,0
12761.190895915,-0.23074667233086707,0.673093748839678,9.440961665646174,0.1,0.0,-0.040142572795870045,0
12761.202201998,-0.23187712731433255,0.6730751300813793,9.441246617462022,0.1,0.0,-0.03577924966588423,0
12761.213473602,-0.233004130192304,0.673056286503256,9.441496482797278,0.1,0.0,-0.03141592653589841,0
12761.224868642,-0.23414347076748096,0.6730369883172171,9.441714372275335,0.1,0.0,-0.02705260340591259,0
12761.236258735,-0.23528231316475223,0.6730174901258372,9.441897350237465,0.1,0.0,-0.022689280275926767,0
12761.247600391,-0.23641630969749186,0.672997907687039,9.442044761924057,0.1,0.0,-0.01832595714594094,0
12761.258846057,-0.23754070866123508,0.6729784909840276,9.442044761924057,0.1,0.0,0.0,0
12761.270193337,-0.2386752675101942,0.672958898834862,9.442044761924057,0.1,0.0,0.0,0
12761.281421972,-0.23979796362768085,0.6729395115374807,9.442044761924057,0.1,0.0,0.0,0
12761.292671701,-0.2409227688306994,0.6729200878193192,9.442044761924057,0.1,0.0,0.0,0
12761.303877054,-0.24204313709540126,0.6729007407205041,9.442044761924057,0.1,0.0,0.0,0
12761.315221679,-0.24317743048388066,0.6728811531554474,9.442044761924057,0.1,0.0,0.0,0
12761.326670053,-0.24432209722581139,0.6728613864579567,9.442044761924057,0.1,0.0,0.0,0
12761.337918792,-0.24544680344363412,0.6728419644491228,9.442044761924057,0.1,0.0,0.0,0
12761.349230395,-0.2465777951244527,0.6728224338996621,9.442044761924057,0.1,0.0,0.0,0
12761.360495436,-0.247704131299215,0.6728029837438886,9.442044761924057,0.1,0.0,0.0,0
12761.371663602,-0.24882078141815436,0.6727837008519381,9.442044761924057,0.1,0.0,0.0,0
12761.382881143,-0.2499423683010164,0.6727643327093941,9.442044761924057,0.1,0.0,0.0,0
12761.39408207,-0.2510622940317378,0.6727449932524846,9.442044761924057,0.1,0.0,0.0,0
12761.405353569,-0.25218927591022394,0.6727255319463651,9.442044761924057,0.1,0.0,0.0,0
12761.416704183,-0.25332416810950514,0.6727059340407338,9.442044761924057,0.1,0.0,0.0,0
12761.428089016,-0.2544624816986567,0.6726862770527721,9.442044761924057,0.1,0.0,0.0,0
12761.439386296,-0.25559204129289775,0.6726667712333233,9.442044761924057,0.1,0.0,0.0,0
12761.450673629,-0.256720606335431,0.672647282588308,9.442044761924057,0.1,0.0,0.0,0
12761.461860284,-0.2578391050787152,0.6726279677733559,9.442044761924057,0.1,0.0,0.0,0
12761.473113086,-0.25896421753599513,0.6726085387493689,9.442044761924057,0.1,0.0,0.0,0
12761.48460771,-0.2601135085884173,0.6725886921968922,9.442044761924057,0.1,0.0,0.0,0
12761.495841501,-0.26123672022923095,0.6725692959971874,9.442044761924057,0.1,0.0,0.0,0
12761.507096125,-0.26236201485933386,0.6725498638273458,9.442044761924057,0.1,0.0,0.0,0
12761.518335125,-0.26348574732231006,0.6725304586338144,9.442044761924057,0.1,0.0,0.0,0
12761.529754697,-0.2646275342935762,0.6725107416656935,9.442044761924057,0.1,0.0,0.0,0
12761.541137602,-0.265765655111506,0.672491088006605,9.442044761924057,0.1,0.0,0.0,0
12761.55235931,-0.2668876586323468,0.6724717126693408,9.442044761924057,0.1,0.0,0.0,0
12761.563520132,-0.2680035744607063,0.6724524424574999,9.442044761924057,0.1,0.0,0.0,0
12761.574982257,-0.2691496160976185,0.6724326520176114,9.442044761924057,0.1,0.0,0.0,0
12761.586449172,-0.27029613666324587,0.672412853307334,9.442044761924057,0.1,0.0,0.0,0
12761.597693588,-0.2714204106455802,0.6723934387625662,9.442044761924057,0.1,0.0,0.0,0
12761.608866859,-0.27253757118834243,0.672374147056353,9.442044761924057,0.1,0.0,0.0,0
12761.620212889,-0.2736720050558927,0.6723545570654311,9.442044761924057,0.1,0.0,0.0,0
12761.631677513,-0.27481829655559314,0.6723347623107827,9.442044761924057,0.1,0.0,0.0,0
12761.642979742,-0.27594835097614745,0.6723152479464172,9.442044761924057,0.1,0.0,0.0,0
12761.654059158,-0.2770561274179668,0.6722961182897139,9.442044761924057,0.1,0.0,0.0,0
12761.665284147,-0.2781784589899303,0.6722767372874933,9.442044761924057,0.1,0.0,0.0,0
